Month,Weight,Scenario,Wscarc_cost
8,w6,S7,1000000
8,w6,S8,1000000
8,w6,S9,1000000
8,w6,S10,1000000
8,w6,S11,2000000
8,w6,S12,3000000
8,w6,S13,7000000
8,w6,S14,8000000
8,w6,S15,8000000
8,w6,S16,8000000
8,w6,S17,8000000
8,w6,S18,8000000
8,w6,S19,8000000
8,w6,S20,8000000
8,w6,S21,8000000
8,w6,S22,8000000
