Month,Weight,Scenario,Spent
8,w6,S7,-1000000
8,w6,S8,-1000000
8,w6,S9,-1000000
8,w6,S10,-10000000
8,w6,S11,-11000000
8,w6,S12,-21000000
8,w6,S13,-41000000
8,w6,S14,-51000000
8,w6,S15,-51000000
8,w6,S16,-51000000
8,w6,S17,-51000000
8,w6,S18,-51000000
8,w6,S19,-51000000
8,w6,S20,-51000000
8,w6,S21,-51000000
8,w6,S22,-51000000
