Month,Weight,Scenario,QL_Recon
8,w6,S1,410.78696
8,w6,S2,410.78696
8,w6,S3,410.78696
8,w6,S4,410.78696
8,w6,S5,410.78696
8,w6,S6,410.78696
8,w6,S7,420.411063
8,w6,S8,420.411063
8,w6,S9,420.411063
8,w6,S10,489.622282
8,w6,S11,499.246385
8,w6,S12,517.977564
8,w6,S13,734.082236
8,w6,S14,752.813415
8,w6,S15,752.813415
8,w6,S16,752.813415
8,w6,S17,752.813415
8,w6,S18,752.813415
8,w6,S19,752.813415
8,w6,S20,752.813415
8,w6,S21,752.813415
8,w6,S22,752.813415
